No.,WD (deg.),CB,x (m),y (m),z (m),Vs (m/s),,,,,,
18,22.5,0D,-0.2,0.15,0.02,2.3,,,,,,
19,22.5,0D,-0.2,0.2,0.02,1.76,,,,,,
20,22.5,0D,-0.2,0.25,0.02,1.45,,,,,,
21,22.5,0D,-0.2,0.3,0.02,1.32,,,,,,
64,22.5,0D,-0.15,-0.3,0.02,2.41,,,,,,
60,22.5,0D,-0.15,-0.25,0.02,2.08,,,,,,
51,22.5,0D,-0.15,-0.2,0.02,1.74,,,,,,
42,22.5,0D,-0.15,-0.15,0.02,1.36,,,,,,
4,22.5,0D,-0.15,-0.1,0.02,1.31,,,,,,
5,22.5,0D,-0.15,-0.05,0.02,1.34,,,,,,
6,22.5,0D,-0.15,0,0.02,1.47,,,,,,
7,22.5,0D,-0.15,0.05,0.02,2.08,,,,,,
8,22.5,0D,-0.15,0.1,0.02,2.79,,,,,,
9,22.5,0D,-0.15,0.15,0.02,2.49,,,,,,
10,22.5,0D,-0.15,0.2,0.02,2.19,,,,,,
11,22.5,0D,-0.15,0.25,0.02,2.1,,,,,,
12,22.5,0D,-0.15,0.3,0.02,2.1,,,,,,
59,22.5,0D,-0.1,-0.25,0.02,1.7,,,,,,
50,22.5,0D,-0.1,-0.2,0.02,1.48,,,,,,
41,22.5,0D,-0.1,-0.15,0.02,1.19,,,,,,
103,22.5,0D,-0.1,0.15,0.02,2.77,,,,,,
112,22.5,0D,-0.1,0.2,0.02,2.79,,,,,,
121,22.5,0D,-0.1,0.25,0.02,2.97,,,,,,
58,22.5,0D,-0.05,-0.25,0.02,1.58,,,,,,
49,22.5,0D,-0.05,-0.2,0.02,1.65,,,,,,
40,22.5,0D,-0.05,-0.15,0.02,1.33,,,,,,
104,22.5,0D,-0.05,0.15,0.02,2.43,,,,,,
113,22.5,0D,-0.05,0.2,0.02,1.66,,,,,,
122,22.5,0D,-0.05,0.25,0.02,0.8,,,,,,
57,22.5,0D,0,-0.25,0.02,1.64,,,,,,
48,22.5,0D,0,-0.2,0.02,1.51,,,,,,
39,22.5,0D,0,-0.15,0.02,1.41,,,,,,
105,22.5,0D,0,0.15,0.02,1.63,,,,,,
114,22.5,0D,0,0.2,0.02,1.21,,,,,,
123,22.5,0D,0,0.25,0.02,0.95,,,,,,
56,22.5,0D,0.05,-0.25,0.02,1.88,,,,,,
47,22.5,0D,0.05,-0.2,0.02,1.6,,,,,,
38,22.5,0D,0.05,-0.15,0.02,1.3,,,,,,
106,22.5,0D,0.05,0.15,0.02,1.2,,,,,,
115,22.5,0D,0.05,0.2,0.02,1.29,,,,,,
124,22.5,0D,0.05,0.25,0.02,1.07,,,,,,
69,22.5,0D,0.1,-0.25,0.02,2.11,,,,,,
68,22.5,0D,0.1,-0.2,0.02,1.75,,,,,,
67,22.5,0D,0.1,-0.15,0.02,1.44,,,,,,
107,22.5,0D,0.1,0.15,0.02,0.98,,,,,,
116,22.5,0D,0.1,0.2,0.02,1.08,,,,,,
125,22.5,0D,0.1,0.25,0.02,1.13,,,,,,
78,22.5,0D,0.15,-0.3,0.02,2.61,,,,,,
77,22.5,0D,0.15,-0.25,0.02,2.14,,,,,,
76,22.5,0D,0.15,-0.2,0.02,1.76,,,,,,
75,22.5,0D,0.15,-0.15,0.02,1.43,,,,,,
74,22.5,0D,0.15,-0.1,0.02,1.1,,,,,,
73,22.5,0D,0.15,-0.05,0.02,1.07,,,,,,
72,22.5,0D,0.15,0,0.02,1.08,,,,,,
71,22.5,0D,0.15,0.05,0.02,1,,,,,,
70,22.5,0D,0.15,0.1,0.02,1.11,,,,,,
